EXTERNAL:00000105 | Function | IsWindowEnabled
EXTERNAL:00000106 | Function | GetSystemMetrics
EXTERNAL:00000107 | Function | GetMenu
EXTERNAL:00000108 | Function | SetMenu
EXTERNAL:00000109 | Function | DrawMenuBar
EXTERNAL:0000010a | Function | GetSystemMenu
EXTERNAL:0000010b | Function | CreateMenu
EXTERNAL:0000010c | Function | CreatePopupMenu
EXTERNAL:0000010d | Function | DestroyMenu
EXTERNAL:0000010e | Function | EnableMenuItem
EXTERNAL:0000010f | Function | GetSubMenu
EXTERNAL:00000110 | Function | GetMenuItemCount
EXTERNAL:00000111 | Function | RemoveMenu
EXTERNAL:00000112 | Function | DeleteMenu
EXTERNAL:00000113 | Function | GetMenuItemRect
EXTERNAL:00000114 | Function | UpdateWindow
EXTERNAL:00000115 | Function | SetActiveWindow
EXTERNAL:00000116 | Function | GetForegroundWindow
EXTERNAL:00000117 | Function | SetForegroundWindow
EXTERNAL:00000118 | Function | WindowFromDC
EXTERNAL:00000119 | Function | GetDC
EXTERNAL:0000011a | Function | GetDCEx
EXTERNAL:0000011b | Function | GetWindowDC
EXTERNAL:0000011c | Function | ReleaseDC
EXTERNAL:0000011d | Function | BeginPaint
EXTERNAL:0000011e | Function | EndPaint
EXTERNAL:0000011f | Function | GetUpdateRect
EXTERNAL:00000120 | Function | SetWindowRgn
EXTERNAL:00000121 | Function | InvalidateRect
EXTERNAL:00000122 | Function | InvalidateRgn
EXTERNAL:00000123 | Function | RedrawWindow
EXTERNAL:00000124 | Function | LockWindowUpdate
EXTERNAL:00000125 | Function | ScrollWindow
EXTERNAL:00000126 | Function | ScrollDC
EXTERNAL:00000127 | Function | ScrollWindowEx
EXTERNAL:00000128 | Function | ShowScrollBar
EXTERNAL:00000129 | Function | EnableScrollBar
EXTERNAL:0000012a | Function | GetClientRect
EXTERNAL:0000012b | Function | GetWindowRect
EXTERNAL:0000012c | Function | AdjustWindowRectEx
EXTERNAL:0000012d | Function | MessageBeep
EXTERNAL:0000012e | Function | SetCursorPos
EXTERNAL:0000012f | Function | SetCursor
EXTERNAL:00000130 | Function | GetCursorPos
EXTERNAL:00000131 | Function | CreateCaret
EXTERNAL:00000132 | Function | GetCaretBlinkTime
EXTERNAL:00000133 | Function | DestroyCaret
EXTERNAL:00000134 | Function | HideCaret
EXTERNAL:00000135 | Function | ShowCaret
EXTERNAL:00000136 | Function | SetCaretPos
EXTERNAL:00000137 | Function | GetCaretPos
EXTERNAL:00000138 | Function | ClientToScreen
EXTERNAL:00000139 | Function | ScreenToClient
EXTERNAL:0000013a | Function | MapWindowPoints
EXTERNAL:0000013b | Function | WindowFromPoint
EXTERNAL:0000013c | Function | GetSysColor
EXTERNAL:0000013d | Function | GetSysColorBrush
EXTERNAL:0000013e | Function | SetSysColors
EXTERNAL:0000013f | Function | DrawFocusRect
EXTERNAL:00000140 | Function | FillRect
EXTERNAL:00000141 | Function | FrameRect
EXTERNAL:00000142 | Function | SetRect
EXTERNAL:00000143 | Function | InflateRect
EXTERNAL:00000144 | Function | IntersectRect
EXTERNAL:00000145 | Function | SubtractRect
EXTERNAL:00000146 | Function | OffsetRect
EXTERNAL:00000147 | Function | GetDesktopWindow
EXTERNAL:00000148 | Function | GetParent
EXTERNAL:00000149 | Function | SetParent
EXTERNAL:0000014a | Function | EnumThreadWindows
EXTERNAL:0000014b | Function | GetTopWindow
EXTERNAL:0000014c | Function | GetWindowThreadProcessId
EXTERNAL:0000014d | Function | GetLastActivePopup
EXTERNAL:0000014e | Function | GetWindow
EXTERNAL:0000014f | Function | CallNextHookEx
EXTERNAL:00000150 | Function | DestroyCursor
EXTERNAL:00000151 | Function | DestroyIcon
EXTERNAL:00000152 | Function | CopyImage
EXTERNAL:00000153 | Function | CreateIconIndirect
EXTERNAL:00000154 | Function | GetIconInfo
EXTERNAL:00000155 | Function | SetScrollInfo
EXTERNAL:00000156 | Function | GetScrollInfo
EXTERNAL:00000157 | Function | TranslateMDISysAccel
EXTERNAL:00000158 | Function | DrawEdge
EXTERNAL:00000159 | Function | DrawFrameControl
EXTERNAL:0000015a | Function | TrackPopupMenuEx
EXTERNAL:0000015b | Function | ChildWindowFromPointEx
EXTERNAL:0000015c | Function | DrawIconEx
EXTERNAL:0000015d | Function | FlashWindowEx
EXTERNAL:0000015e | Function | CoTaskMemFree
EXTERNAL:0000015f | Function | OleInitialize
EXTERNAL:00000160 | Function | OleUninitialize
EXTERNAL:00000161 | Function | RegisterDragDrop
EXTERNAL:00000162 | Function | RevokeDragDrop
EXTERNAL:00000163 | Function | DoDragDrop
EXTERNAL:00000164 | Function | OleSetClipboard
EXTERNAL:00000165 | Function | OleGetClipboard
EXTERNAL:00000166 | Function | ReleaseStgMedium
EXTERNAL:00000167 | Function | CreateStreamOnHGlobal
EXTERNAL:00000168 | Function | CoUninitialize
EXTERNAL:00000169 | Function | CoCreateInstance
EXTERNAL:0000016a | Function | CoInitialize
EXTERNAL:0000016b | Function | CoTaskMemAlloc
EXTERNAL:0000016c | Function | CreateDataAdviseHolder
EXTERNAL:0000016d | Function | StgOpenStorage
EXTERNAL:0000016e | Function | StgIsStorageFile
EXTERNAL:0000016f | Function | GetErrorInfo
EXTERNAL:00000170 | Function | StrCmpLogicalW
EXTERNAL:00000171 | Function | RegQueryInfoKeyA
EXTERNAL:00000172 | Function | RegSetValueExW
EXTERNAL:00000173 | Function | RegQueryValueExW
EXTERNAL:00000174 | Function | RegCreateKeyExW
EXTERNAL:00000175 | Function | RegDeleteKeyW
EXTERNAL:00000176 | Function | RegEnumKeyExW
EXTERNAL:00000177 | Function | RegOpenKeyExW
EXTERNAL:00000178 | Function | RegCloseKey
EXTERNAL:00000179 | Function | RegFlushKey
EXTERNAL:0000017a | Function | CreateFontIndirectA
EXTERNAL:0000017b | Function | EnumFontFamiliesA
EXTERNAL:0000017c | Function | GetCharABCWidthsA
EXTERNAL:0000017d | Function | GetTextExtentPointA
EXTERNAL:0000017e | Function | GetTextMetricsA
EXTERNAL:0000017f | Function | GetObjectA
EXTERNAL:00000180 | Function | ExtTextOutA
EXTERNAL:00000181 | Function | CreateFontIndirectW
EXTERNAL:00000182 | Function | EnumFontFamiliesExW
EXTERNAL:00000183 | Function | GetCharABCWidthsW
EXTERNAL:00000184 | Function | GetTextExtentPointW
EXTERNAL:00000185 | Function | GetTextExtentPoint32W
EXTERNAL:00000186 | Function | GetTextExtentExPointW
EXTERNAL:00000187 | Function | GetObjectW
EXTERNAL:00000188 | Function | TextOutW
EXTERNAL:00000189 | Function | ExtTextOutW
EXTERNAL:0000018a | Function | GetRandomRgn
EXTERNAL:0000018b | Function | Arc
EXTERNAL:0000018c | Function | BitBlt
EXTERNAL:0000018d | Function | Chord
EXTERNAL:0000018e | Function | CombineRgn
EXTERNAL:0000018f | Function | CreateBitmap
EXTERNAL:00000190 | Function | CreateBrushIndirect
EXTERNAL:00000191 | Function | CreateCompatibleBitmap
EXTERNAL:00000192 | Function | CreateCompatibleDC
EXTERNAL:00000193 | Function | CreateDIBitmap
